Medsos,Comment
Instagram,"Heran sama skintific ??, gue pake fw ini itu ga ada yg cocok malah nambah jerawat & bruntusan. Kena yg namanya Panthenol ini langsung mendingan, yg namanya jerawat pada off. Emang bener jg ada harga ada kualitas wkwk ??. Btw kulitku oily yaa"
Instagram,Abis moisturizer yg paket d atas abis itu tahap 5 nya boleh pake sunscreen biru?
Instagram,@zuer.id aku oily msih stay d biru pen pindah ke panthenol tpi takut skin barrierku blum sembuh
Instagram,"@zuer.id kak sbelume pake skintific jetwatku brsih tp kok skrg mlh jerwaten trs bruntusan,kakak mah pake acne kag?"
Instagram,uuuu udhh mauu abis 2 botol yg facial wash nyaa trs baru nyoba yg moisturizer nya udh mendingan bgtt beruntusan lebih nerkurangg luvvv bgtt sm skintificcc??????????????????????????????????????????????
Instagram,Kalo buat kulit sensitif bekas jerawat sama jerawat kadang on off pakek toner apa ya sama moist apa tolong jawab min @skintificid
Instagram,"@debyntara.nurvia  aku ga pake acne kak, soalnya sebelum ke skintific waktu itu aku 1 Minggu ga pake skincare apapun"
Instagram,"@itz.pinds owa, kakanya fokus ke skin barrier dulu?"
Instagram,@zuer.id iya ka
Instagram,Sudah pake ini minnnn ?????? alhamdulillah semoga selalu cocok dengan skintific??
Instagram,"favorit banget sih varian panthenol ini, sukaaa??"
Instagram,@zuer.id kalau udah pakai ini pakai cream mlm / pagi g sih
Instagram,Mantap ??
Instagram,"@_eel94  kurang tau kak, soalnya aku pakai skincare basic doang ??"
Instagram,"@zuer.id oh gtu, soalnya ku br nyoba yg ini??."
Instagram,@zuer.id terima kasih infonya
Instagram,"Kulit berminyak, jerawat saat mau haid, pori2 besar bagusnya pke mana kk"
Instagram,"@anie_fatimah saat ini pke acne calming water gel, dan sunscreen yg biru"
Instagram,Skintific turunkan harga produk muuu??
Instagram,Ni jual sepaket atau kepisah bisa krim kluar negeri ngk?
Instagram,@tarilahas Mintific sarankan pakai 5X Ceramide Toner untuk menenangkan kulit sensitif. Lalu bisa pakai SymWhite 377 Moisturizer untuk bantu meredakan bekas jerawat yaa ????
Instagram,Setelah pakai retinol apa boleh pakai panthenol moisturizer ini min @skintificid
Instagram,Kulitku kombinasi pake ini tambah minyakan parah ?? padalan bagus banget fw ini. Balik lagi ke white truffle deh aku @zuer.id
Instagram,Harga brp?
Instagram,"Baru pertama kali coba skintific setelah struggle sama jerawat. Langsung sembuuh dong, btw aku pakai pakai rangkaian acne minus toner aja udah ada hasilnya."
Instagram,"Aku pakai moisturizer yg panthenol, dimukaku kenapa peeling trus ya kak"
Youtube,ada yang mau ga moizturizer skintific ?aku jual 90 aja masih di kardus belum make sama sekali
Youtube,review jujur baanget..aq pake moist skintific juga jerawatan bruntusan d kening ??dan beberapa d dagu..beli karna racun tiktok. harapannya ngilangin tekstur. malah mulai daari bersihin jerawat lg..padahal baru sembuh jerawat nya
Youtube,"Kaka tolong Jawab dong ,skintific sama dorskin bagusan mana???"
Youtube,D aq rangkaian retinol nya cocok ??
Youtube,Aku pakek ini kok kayak kusam dan berminyak ya... apa yg salah ya
Youtube,Suka bgtttt ka review nya
Youtube,"Nyoba yg travel size, trus bangun tidur berminyak bgt trus muncul jrwt 1.
Besoknya lanjut muncul 1 lg, emang ternyta ga cocok di aku :("
Youtube,"Kk mau tanya,saya pake barier set skintific baru 2 hari tapi jadi beruntusan,stop/lanjut ka ?saya tanya ke official store'y katanya detox , apakah betul ?"
Youtube,"Kak sy boleh tanya
Sy br mau coba pke rangkaian skintific ini namun sy msh bingung sbg pemula sy harus pke rangkaian yg mana dlu?
Kulit sy normal tp kusam dan ada bnyk bekas jerawat yg sdh menghitam. Mohon bantuannya ka terima kasih bnyk sblmnya salam kenal sy pungky di jogja ????"
Youtube,Aku cocok sih tapi sebaiknya pake mlm
Youtube,Skincare yg ini tuh buat memperbaiki skin barrier. Kalo skin barrier rusak mau pakai skincare mahal pun ga bakal ngefek.
Youtube,Udh hampir 1bLn ak pake.. emg sebagus itu.. bikin gLowing..
Youtube,"Sebelum ganti ke prodak ini aku pke cahaya acne tw kan cahaya itu apa,, aku stoplah trus muncul beruntusan stop smpe 4harian,, aku ganti pke skintific yg barir sm acne krn kata host nya pagi pke barir mlmnya pke acne.. Skr beruntusannya makin bnyak,, ini purging/breakout yak ka..yg tw mohon jwb,, baik nya lanjut atw gak"
Youtube,Kalau mau beli harga berspa
Youtube,Ini baru review jujur. Yg lain mah bilang oka oke mulu
Youtube,Pakai skintific muka ku jadi kering sama jerawatan.
Youtube,Aman untuk busui gak ya?
Youtube,terus kakak pagi nya pake apa kak?
Youtube,"Kak, jenis kulit wajahku klau malam kering,  dan klau siang berminyak. Bingung mau pakai moisturizer apa.  Apa boleh pakai 2 moisturizer? Contohnya klau siang pakai yang oily skin,  dan malamnya pakai yng dry skin"
Youtube,Pake ini jd muncul jerawat ??
Youtube,2 bln pake dan cocok untuk aku yg kulit kering
Youtube,Apa bisa utk flek hitam
Youtube,Aku malah kekurangan kelembapan pake ini :( sampe numpuk moisturer lain juga..
Youtube,Jh
Youtube,"Kalo tipe kulit berkeringat dan selalu berminyak pake nya apa ya, gampang beruntusan dan gatel2 mukanya"
Youtube,"mau tanya, kamu pas bangun pagi double cleanse gak?"
Youtube,"Menurut aku yang pakai selama satu bulan ini, produk skintific mencerahkan wajah"
Youtube,"Kulit wajah ku kering bngt Alhamdulillah cocok dan membantu bngt, pakai skintific"
Youtube,Bener bnget ni aku bru cba 5 hr emang bener ini tuh dipke sblm make up hasilnya bagus aku pke rangkaian yg wrna biru cuma serumnya aku gnti yg symwhitenya tp yg bikin aku kaget setelah make up dihpus muka aku jd gatal2 n bentol2 tp itu cuma sbntr doank selang brp menit gtu ilang gtal2 n bentol2nya ?? n anehnya ini trjadi sllu dimlm hr stlh aku mndi sore gtu pke skincare psti dh gatel2 n bntol2 gtu?? aku beli cleanser sm tonernya yg travel size klu moisturizer sm serum symwhitenya  aku beli yg size normal gmn ya mau diterusin takut tp g dilnjut jg sayang hrga mehong ?? sekedar info kulitku ni trmsuk tipe kulit berminyak tp sekian x gnti2 skincare sich g prnh ngerasain gatel2 fine2 aja cuma x ni yg ngerasa stlh pke kok g nyaman apa mungkin ini hnya ccok u kulit kering ?
Youtube,Bukannya cantella itu bagus untuk jerawat?
Youtube,"suka banget sama pejuang sunscreen satu ini ,, di tiktok pasti dia aja yang gw cari di youtube juga sama ??sehat selalu ya kak dan sukses selalu"
Youtube,Bagus aku lepas cream dokter brekout merah pake skintifik perlahan bagus ?? thebesstt.. Pokoknya.. Emng sih tergantung masing2 kulit. Tp alhamdulillah aku cocok dari kulitku yg sensitif
Youtube,"Kak bunyi notif tulisannya ganggu banget, nyaring ditelinga"
Youtube,Ba. Bisa  menghilangkan. Flek. Hitam?
Youtube,Pakai skintific pink toner serum moist malah beruntusan kering dan kusam ?? beda banget sama review2 orang
Youtube,Bole di pake umur brp?
Youtube,Snstif bisa pake g ka?
Youtube,Aku make skintific yg birunya ama yg pink..muka aku banyak minyak nya trs wajah aku jadi hitem banget ????
Youtube,"Sebelumnya gada pakai skincare apapun kecuali facial foam yang udah aku pakai dari SMA. Katanya skintific ini bisa memperbaiki skin barier jadi aku coba, krn muka ku lagi breakout dan gradakan. Tapi pas udh nyoba malah timbul beberapa jerawat gede2 kemerahan, sedikit gatal, dan bikin muka ku kayak panci penggorengan ??. Takut banget mau terusin padahal baru 3 hari. Kulit asli aku memang berminyak semuka-muka karena genetik, dan sangat2 sensitif, ternyata ga cocok pakai scintific. Buat tipe muka yg sama kayak aku mending pikir2 lagi kalau mau cobain karena harganya lumayan ya tsaaayyyy."
Youtube,Itu pemakaian bisa berapa bulan? Awet ga ya
Youtube,"Aku ada preloved skintific 5x ceramide yang 80gr , cuma di pakek 1 kali pump doang"
Youtube,Terimakasih informasinya kak
Youtube,Revief dong kak yg cocok untk wjh berminyk berjerawat skligus berflek????
Youtube,Minta saranin untuk wajah jerawatan tp berminyak bagusnya pake apa
Youtube,"STku combination to oily. Thn lalu kulitku kering bgt tapi oily, kondisinya mengelupas, merah, jerawat batu, dan kalau pake make up selalu crack/ngelupas, tapi tetep oily. Ternyata skin barrierku rusak. Aku pake skintific ceramide moist itu sekitar 4-5bln. Tp bulan2 terakhir krn skin barrier aku udh membaik dan pake moist ini malah becek krn ga cepet meresap, terus jd banyak komedo/sebum mengendap di pori2 yg bikin jerawat, jd aku berhenti pake. Akhirnya beralih ke serum green tea innisfree yg bahannya hyaluronic acid dan oil free moist cosrx bener2 dah ga punya masalah kulit skrg. Walau udh ga pake skintific tetep berterima kasih udh ngobatin skin barrierku yg rusak parah. Jujur emg cocok bgt buat skin barrier repair tp kalo udh sembuh dan STmu oily mending ganti pelembab ????"
Youtube,"Alhamdulilah ccok ko pke skintific?? .. muka aq berminyak jerawatan pula .. v pas abis 2 jar .. baru kliatan hasil nya .. kulit bner"" halus ga gradakan .. truss jerawat juga berangsur membaik ?? yg pnting jgn lupa exfo 2 kali seminggu"
Youtube,"Pake ini malah kek basah semua diwajah, pake malem pas, bangun pagi nya kek terlihat berasa dioles minyak goreng mukanya wkwkwk"
Youtube,Ka ceramide dicampur panthenol boleh ga ya
Youtube,Aku pakai malah kusam dan gatal
Youtube,buat aku yg punya oily skin sm jerawatan kecil2 merah pake itu seminggu udah calming bgt karena jerawatannya ga merah lg. skrng dah sebulanan makin glowing dan jerawatannya tinggal bekas aja. kalau bisa ngirim foto before after aku langsung kirim sbnrnya??
Youtube,"Kak klo pake crim Skintific mlm nya aj trus siangnya pake produk Y,O,U boleh ga ya"
Youtube,"Mau oily atau pun dry skin, semua perlu moisturizer utk menyeimbangkan kelembaban. Jadi kalau ada yang beranggapan kulit berminyak gak perlu moisturizer itu salah besar."
Youtube,Review mixdeco ka
Youtube,"Aku mau tanya donk kak,tipe kulit aku itu berminyak tapi gk parah banget ada sedikit jerawat jika sedang Dateng bulan ,untuk perawatan kulit baik nya pakai apa y"
Youtube,"Semoga dijawab, bisa gk ya kak klo pakai serum produk lain terus pake mois skintific ini di malam hari?  Terus pakai serim duluan atau mois duluan?"
Youtube,Baru coba hari ini.... Smg cocok
Youtube,"Kalo aku bagus di jar pertama bikin muka bersih lembab n putih, tpi dijar ke dua muka jd kering n item kusam gitu, 
Jar pertama belinya di toko kosmetic, yg kedua belinya di official,emangnya ngaruh ya? Padahal sama? skintific"
Youtube,Kak aku udah 1 Minggu makek skintific mosturizer ini knp ga ada perubahan trus nambah jerawatnya?
Youtube,Ka mist ini bagus gak sik buat bopeng
Youtube,gue tipe kulit kering tapi setelah make ini padahal makenya dikit doang langsung berminyak ??
Youtube,"D tiktok pada lomba2 jualan kosmetik ud kyk jualan obat d pasar2 gt gaya ngomong nya , ga oernah tertarik sm skincare yg viral soalnya bnyak review palsu ????,  msh setia sm wardah cristal screet"
Youtube,"aku cocok banget pake ini, kulitku dry dan gradakan bekas jerawat, tp sejak pake ini kulit jd moist dan kemerahan bekas jerawat mulai memudar dan ngerasa lebih sehat kulitku"
Youtube,"ka klo kulit wajah ku berminyak kusam komedo, cocok ga ya pke produk ini soalnya blom pernah pake skincare sama sekali, mohon di jawab ka"
Youtube,Pakai facial wash nya kok bruntusan ya ? Mana harganya lumayan mahal lagi
Youtube,Yg mau skintific glow chat aku ya.. aku mau jual 250 aja.. d aku kurang cocok
Youtube,"Hallo kak saya baru aja beli paket Skintific Dark Set 1set, mau tanya karna ini baru pertama kali pakai gini2an, kalau toner itu digunakannya hanya malem hari aja kak ? Atau boleh pagi siang ?
Terus kalo siang hari itu pakai serum & moisturizernya boleh jg ga si? Bingung sy wkwk gini amats cowo mau glowing ya. Makasih"
Youtube,Thanks buat review jujurnya yaaa ????
Youtube,Kak kalo pake bumil aman gak?
Youtube,"halo tmn2, aku punya toner + serum 5x ceramide nih
brgkali ada yg mau gantiin wa aku yaa 085645864877"
Youtube,Kak aroma moist nya itu mmg ky mint gt ya ? Saat kena kulit kek ada mint2 nya
Youtube,Penjelasannya padet banget sama informasi bener bener jelas banget woy
Youtube,Reviewnya berisik kebanyakan cerita d banding praktek??
Youtube,Buat aq sih cocok banget pake Skintifik.Dari permukaan kulit yg ga halus dan skrg sdh lbh halus.MERDEKA bersama SKINTIFIC
Youtube,MERDEKA bersam SKINTIFIC
Youtube,"aku udah setaunn lebih pakai brand ini dan cocok banget di muka ku, bikin lemban dan pastinya kulitku makin sehat"
Youtube,MERDEKA BERSAMA SKINTIFIC
Youtube,Aku dah pakai stahun cocok banget d wajah
Youtube,"Moustaizernya juraaa.. menyegarkan, aromanya jga enak, ME-MERDEKAKAN kulit wajah, terasa lembut aja."
Youtube,"Kaka apa bisa Skintific ini bs di gunakan dengan wajah yg berminyak apalagi saya belum pernah menggunakan nya 
MERDEKA bersama SKINTIFIC"
Youtube,"Wah, liat review nya bagus, kynya cocok, jd penasaran tuk coba, karna jenis kulitku jenis kulit yg tdk berjerawat n mudah kusam, jd terhidrasi krn cuaca yg dingin, sehingga cenderung kering, jd memang perlu nutrisi 
MERDEKA dengan SKINTIFIC"
Youtube,Di timpa skincare siang boleh kk?
Youtube,"Sorry skintific ?? overated ,, cukup coba 1 tube aja ,, kalau ga rajin exfo bikin komedoan n brp x dipake lama"" rada cekat cekit ,, paling ga suka after pake bukan keliatan glowing malah kek kusem berminyak gitu"
Youtube,Alhamdulillah aku pakai lamour skincare Cocok
Youtube,"Inti nya tergantung kulit cocok apa tidak kulit nya ,klo ga cocok stop klo cocok lanjut"
Youtube,ka abis pake moisturizer boleh gak pake pelembab lain nya
Youtube,"Baru pake 2 minggu n udah kerasa banget bedanya �
Wajahku oily skin tp  somehow cocok bgt buat aq.
Beruntusan di jidat udah membaik banget n kulit bopeng berasa lebih halus n putih"
